,Gene,ProteinGroup,m_00h,m_01h,m_02h,m_03h,m_04h,m_05h,m_06h,m_08h,m_10h,m_12h,m_14h,m_16h,m_18h,m_20h,p_00h,p_01h,p_02h,p_03h,p_04h,p_05h,p_06h,p_08h,p_10h,p_12h,p_14h,p_16h,p_18h,p_20h,ms_00h,ms_01h,ms_02h,ms_03h,ms_04h,ms_05h,ms_06h,ms_08h,ms_10h,ms_12h,ms_14h,ms_16h,ms_18h,ms_20h,ps_00h,ps_01h,ps_02h,ps_03h,ps_04h,ps_05h,ps_06h,ps_08h,ps_10h,ps_12h,ps_14h,ps_16h,ps_18h,ps_20h,n
1,FBgn0026620,FBtr0089955;FBtr0302614;FBtr0302615;FBtr0332446;FBtr0306654;FBtr0332445;FBtr0302616;FBtr0089952;FBtr0089953,64.1630700476,63.9442821657,23.1075564941,20.9624046198,21.0965555794,41.3700767191,56.6109112885,56.6425287781,55.3090113685,57.9223353247,52.5405274183,45.0564444537,45.1505203655,33.2086671509,0.46536432289,0.463607936533,0.712351275439,0.695372873992,0.724333733472,0.694260495966,0.796208966266,0.734462228129,0.550685669014,0.480840038232,0.243899615643,0.156603310638,0.176782238335,0.0930806707396,11.1221986173,11.0842733392,4.00552580631,3.63367942813,3.65693351519,7.17120003363,9.81308716667,9.81856782709,9.58741234344,10.0404129257,9.10751591174,7.81020490186,7.82651227268,5.75647941402,0.0790349426397,0.0787366475446,0.12098186179,0.118098342537,0.123016897216,0.11790942231,0.135223795385,0.124737065598,0.0935254554813,0.0816632538665,0.0414225826605,0.0265966535564,0.03002373276,0.0158083142839,14
4,FBgn0031452,FBtr0077712,71.9776878621,69.9057502702,99.4095576624,83.1980762598,79.524307413,51.843020754,38.5780291453,33.7721376387,24.7719994398,20.6369378025,17.5748302654,13.2300152432,11.9696322424,7.45005685785,,,,0.0367960990173,0.038429928637,0.0392240104242,0.0409257536498,0.0508922704534,0.0457148337822,0.0449595876488,0.0447605305284,0.0437886634111,0.0453772172936,0.0441906807327,12.4768054244,12.1176502063,17.231919295,14.4217776371,13.7849566939,8.98660823616,6.68721902023,5.85415289933,4.29404480979,3.57726213727,3.04646820566,2.29332631895,2.07484814984,1.2914128333,,,,0.00624924909829,0.00652672982452,0.0066615923514,0.00695060715465,0.0086432660998,0.00776395844727,0.00763569155638,0.00760188477893,0.00743682815965,0.00770661950121,0.00750510459252,11
7,FBgn0038300,FBtr0083048,36.3510804671,37.416043795,53.2279572338,31.0404595835,26.0554082488,22.2277666119,19.189728594,18.2515825675,15.1932430504,12.9827427483,10.675505911,11.1956428716,8.22952613068,7.87201426465,,,0.0486405831442,0.0334817979623,0.0346548688945,0.0441360376016,0.0382800503346,0.0473404669322,0.0434705623265,0.0349688717443,0.0377262031701,0.0384028022255,0.0472877753415,0.0478829951624,6.30119376472,6.48579736371,9.22667683932,5.38063650015,4.51651433423,3.85302066896,3.32639901234,3.16377826443,2.6336374915,2.25046344161,1.8505208213,1.94068275683,1.42652812722,1.36455606168,,,0.00826085178789,0.00568636625385,0.00588559423347,0.00749582430068,0.00650127530974,0.00804004712972,0.00738280360354,0.00593892276769,0.00640721292309,0.0065221228225,0.00803109827687,0.00813218717021,12
10,FBgn0035437,FBtr0332058;FBtr0073083;FBtr0073084,37.6662730109,40.46744149,27.5322232546,23.9874482893,24.6751754537,24.3265197484,24.5286618018,24.0094445129,21.4548855565,21.2968178915,17.6536128534,19.4782519791,16.3516864348,13.1733402475,0.127591711107,0.134521631054,0.181489353771,0.14952312208,0.153798947088,0.14533901947,0.12849527431,0.121577063606,0.128594802871,0.101860650982,0.129420304458,0.111495405919,0.112863435736,0.125704571544,6.52917276699,7.01473482258,4.77250940745,4.15804860954,4.27726108039,4.2168241655,4.25186401109,4.16186149394,3.7190473943,3.6916475214,3.06012459072,3.3764124296,2.83444517415,2.28350212322,0.0216694814635,0.0228464213331,0.0308231636149,0.0253941928842,0.0261203757213,0.0246835876799,0.021822937718,0.0206479864823,0.0218398411067,0.0172994583204,0.0219800398014,0.0189357726365,0.0191681113716,0.0213489799558,14
11,FBgn0033890,FBtr0087606,61.8030348841,65.4310141747,12.5053244961,26.3596201328,24.2024317085,29.7025028458,19.2583995656,13.4060946866,10.9474041312,12.0159399698,5.04853131227,5.23073470122,5.03370307386,3.99356316481,0.315370879575,0.271342176695,0.373189166894,0.465013045619,0.494286151562,0.498306324779,0.576153271185,0.405861856208,0.382882468042,0.290529721871,0.222698080778,0.168205218293,0.302929809548,0.141092467568,10.7131037936,11.3419874523,2.16770648157,4.56924723796,4.19531441192,5.14871149146,3.3383026227,2.32384840183,1.89765238791,2.08287525548,0.875125955462,0.906709579486,0.872555588853,0.692254947852,0.0535608729578,0.0460832778018,0.0633804160492,0.0789752836207,0.0839468685389,0.0846296328677,0.0978507343601,0.068929367696,0.0650266735352,0.0493419859962,0.0378218294237,0.028567058379,0.0514479493676,0.0239623764278,14
12,FBgn0031608,FBtr0345632;FBtr0077441,30.8912202763,27.1316572943,4.89743689323,12.5734146904,12.6163182831,14.096902701,12.0939090934,9.17021498209,9.22780778977,8.62596126731,8.47583335092,8.10630934282,6.72629589613,3.24007263411,,0.0276252252332,0.031234599196,0.0350773773903,0.0281929283344,0.0232231355613,0.0237762021096,,0.0288320578142,0.0259738317499,0.0228008222196,0.0230268105975,0.0198781953222,,5.35476695846,4.70307422978,0.8489348437,2.17950941844,2.18694644225,2.44359491547,2.09639063244,1.58958965521,1.59957294693,1.49524725686,1.46922368126,1.4051693988,1.16595416741,0.561642878753,,0.00469171783121,0.00530471425163,0.00595735077579,0.00478813343472,0.00394409089121,0.00403802070227,,0.00489667970544,0.00441125415402,0.00387236749279,0.00391074812836,0.00337600445456,,11
14,FBgn0034708,FBtr0071772;FBtr0071771,49.5871845629,57.5240021871,78.9414419865,56.2354562995,50.2850181493,36.5025664067,34.8030950447,38.6628204758,43.6667086734,44.9019780357,38.9872050971,38.1765270898,31.7132192447,25.9595358061,0.410527989296,0.364290142687,0.330669004741,0.447156450993,0.434510469225,0.563624381841,0.512942877751,0.505175746973,0.549905052856,0.520358731256,0.469189342067,0.437535356839,0.472136168065,0.398094725431,8.59557554171,9.97136479151,13.6839212379,9.74800479208,8.71653988683,6.32745274371,6.03286182062,6.70191697682,7.56930437507,7.78342927876,6.75814667692,6.6176215773,5.49725446386,4.49989554793,0.0697218383319,0.0618690542341,0.0561590232361,0.0759426168206,0.0737948921359,0.0957228960151,0.0871154253268,0.0857962981285,0.0933928798835,0.088374893506,0.079684563069,0.0743086225775,0.0801850359508,0.0676102404977,14
16,FBgn0030336,FBtr0345160;FBtr0339749;FBtr0073607,43.2437467226,46.6807759686,44.986041564,11.1399770375,6.61560704741,2.65839161652,1.79459087218,1.30130741754,1.17524144074,1.37234863254,2.9217080592,5.37069161299,4.10053030387,5.71881482153,0.125070320915,0.115882468729,0.108587610728,0.21266326006,0.192380900722,0.239309592631,0.190476197295,0.191608090725,0.170035763185,0.163135116344,0.140782172645,0.1260792673,0.123491524734,0.107176647022,7.49598701634,8.09177088234,7.79800107617,1.93103349188,1.14676706555,0.460812731368,0.311079194035,0.225572117253,0.203719502784,0.23788659196,0.506456709632,0.930970085872,0.710796918572,0.991314696342,0.0212412622825,0.0196808474962,0.0184419285346,0.0361175701138,0.0326729246435,0.0406430381453,0.0323494401848,0.0325416748016,0.0288779481559,0.0277059798712,0.0239096776276,0.0214126162427,0.0209731281359,0.0182022981415,14
18,FBgn0029503,FBtr0084554,36.6816867023,36.0460407257,38.8681721363,27.1554087789,25.9119007665,22.0045130128,18.9362341512,17.7564872348,20.1199725611,20.2259861196,17.6469723343,14.4771504292,15.279417234,9.09698597462,0.124576581195,0.10574226483,0.102922288958,0.186022782111,0.193106873749,0.228096041514,0.254445739944,0.212438832915,0.239514504372,0.170833943207,0.151527354067,0.122710908576,0.169233680082,0.107127858512,6.35850193606,6.24831735796,6.73751318432,4.7071913758,4.49163836243,3.81432129143,3.28245760588,3.07795711185,3.48764999607,3.50602667057,3.05897350532,2.50950807633,2.64857515557,1.57689594269,0.0211574082169,0.0179586904805,0.0174797611334,0.0315930963992,0.0327962199494,0.0387385896827,0.043213678987,0.0360794546294,0.0406778392398,0.0290135067047,0.0257345807316,0.0208405525381,0.0287417267291,0.0181940121667,14
20,FBgn0039156,FBtr0084550,73.7811742526,59.9138196195,11.4779875376,3.64572021073,3.85669945987,5.9736653426,9.21630869588,18.0861275226,22.6281375167,20.6405955976,22.3415914059,28.3362073117,19.5731423062,40.2691970027,3.32360990264,2.53288476489,1.82927639043,1.21932243958,1.215477905,1.07004911467,0.72653897412,0.687586227811,0.549944083663,0.575372655027,0.620062930101,0.518387675456,0.610754082411,0.667114569054,12.7894265915,10.3856221536,1.98962513836,0.631958917441,0.668530626233,1.03549116906,1.59757966316,3.13509784327,3.9224220352,3.57789618928,3.87275136398,4.91187415983,3.39286097334,6.98037059155,0.564463808443,0.430171356633,0.310674341539,0.207083083793,0.206430148974,0.1817313151,0.12339142328,0.116775900949,0.0933995086634,0.0977181587623,0.105308111737,0.0880401401215,0.103727147733,0.113299105896,14
